"Genes";"GPD.PWM";"GPD.EMV";"BC.LS"
"MIB2";1,03934526579625e-05;4,06773807938325e-06;4,10173123057895e-06
"MMP23B";4,53105927414865e-08;5,73005343089261e-08;1,8816171443889e-08
"PRKCZ";1,14024422202051e-06;1,59244065856659e-06;5,20163893001195e-06
"SKI";5,68734139452121e-05;5,27515002624335e-05;4,5318740745823e-05
"PEX10";3,64188679355896e-05;3,61936913749933e-05;2,59528751841992e-05
"PLCH2";1,11624038901821e-06;1,01717069326614e-06;1,31565731586469e-06
"PRDM16";1,83374426754312e-16;0;2,48773509282216e-82
"MEGF6";4,18623779272265e-09;7,39725490350729e-11;1,53042160615436e-11
"TP73";1,00214955223166e-13;5,63640911721563e-15;7,22729643947377e-21
"LRRC47";6,32852935233847e-05;6,71066206853867e-05;5,4576747672223e-05
"C1orf174";8,28251284119351e-06;7,48797687385658e-06;7,6173422448663e-06
"AJAP1";0;0;1,19641274538245e-24
"KCNAB2";1,46783873817652e-05;9,31062471598468e-06;1,37084973322105e-05
"AL035406.1";2,97781918851673e-06;2,26567407027678e-06;4,36162034812998e-06
"CHD5";5,48308366429413e-07;4,69185501446229e-07;1,00468598308247e-06
"ZBTB48";3,26822218757738e-05;2,99780376707928e-05;2,55811834801784e-05
"CAMTA1";0;0;4,89461899298225e-34
"VAMP3";1,23779704475657e-08;4,30950558810705e-10;3,31161602734398e-11
"UTS2";4,86480129243261e-08;2,01877102474879e-08;1,12769603859012e-08
"PARK7";1,76057035441246e-07;1,68847592027299e-08;7,73111750175737e-08
"ERRFI1";7,67324899431815e-06;5,73145776543959e-06;1,01670653271561e-05
"RERE";1,683094268388e-05;8,96924145977681e-06;1,26350599772953e-05
"H6PD";9,1786928805566e-06;1,07273080440111e-05;1,72197349018193e-05
"SPSB1";7,56679453306486e-11;2,77715306307158e-13;2,20592267934787e-16
"CTNNBIP1";1,75277886304355e-05;1,84406428880892e-05;2,49178007302354e-05
"CASZ1";0;7,69507790820967e-16;7,65127757439348e-14
"C1orf127";3,11643601682011e-06;3,33786691997812e-06;6,21600989299132e-06
"FBXO2";1,34757611323548e-05;6,83568401169694e-06;4,53763270380216e-06
"FBXO6";3,35428114282887e-08;3,6069215522454e-08;8,1098556380945e-09
"MAD2L2";1,6455446537651e-06;1,71381039074538e-06;1,79778379546062e-07
"KIAA2013";0;9,94801722331573e-12;3,81290002582127e-12
"PLOD1";2,11111680685887e-06;2,01952088905607e-06;3,95665680418002e-06
"MFN2";4,68571906536471e-06;4,69301795327127e-06;7,61875130608274e-06
"TNFRSF8";1,25576848122276e-07;2,00064632167085e-08;2,88900280010805e-08
"TNFRSF1B";2,73457200271333e-05;3,2260002496433e-05;4,14859659768914e-05
"PRAMEF11";2,18493420546342e-06;2,512682892282e-06;2,28918797566286e-06
"KAZN";8,80760113730616e-13;9,50666212418127e-16;6,1166388026424e-44
"CTRC";6,20989978882979e-07;1,68669395241638e-06;3,7463066747943e-07
"SPEN";7,13476319471169e-07;2,06369163400607e-06;1,30013016480172e-06
"ZBTB17";3,28608560939112e-06;2,51437840425969e-06;1,07305458111055e-06
"CLCNKA";3,12502666301348e-05;2,11513561832671e-05;2,32607232443122e-05
"PADI1";1,13132950450212e-05;1,24471908275653e-05;9,79584279307598e-06
"ARHGEF10L";4,53781591208505e-06;2,19135168024052e-06;1,11276363623929e-06
"ACTL8";4,35926243049799e-05;3,92176972613866e-05;3,4717098275316e-05
"IGSF21";4,02703511145352e-10;3,7395751828484e-12;3,13999406979226e-16
"PAX7";3,72498379987997e-07;5,92645258695645e-08;7,57212406121777e-08
"RNF186";1,21639902255441e-05;1,2515896692195e-05;9,58797641887367e-06
"PLA2G2E";4,13065221772836e-05;5,30059458711607e-05;4,75508775715111e-05
"PLA2G2A";7,50735322821538e-06;6,37734069768812e-06;1,66227445777944e-06
"PLA2G5";6,20609805270511e-06;1,06691456968032e-05;1,76913377845653e-05
"PLA2G2D";3,09594175885203e-07;3,64264284754786e-07;4,33743876241729e-07
"USP48";9,68036671028055e-05;0,000102714342959728;9,53570804749969e-05
"CELA3B";1,52305583203809e-06;9,04779489748209e-07;1,19480458722165e-06
"CELA3A";2,04649445169132e-07;3,04344530289224e-07;1,29984489440211e-06
"EPHB2";5,95296510229015e-08;1,00332744196208e-08;1,47002628785027e-07
"E2F2";1,96702430567499e-05;1,52961888722131e-05;1,08012095162278e-05
"ID3";6,10001451473163e-10;7,6319090247412e-09;2,16100718533807e-10
"PITHD1";5,46443729407299e-05;4,86342055104569e-05;2,92274550070367e-05
"MYOM3";7,28730880171074e-05;7,02373844754027e-05;7,69079381875122e-05
"IL22RA1";5,10614331418767e-06;9,68218022395786e-06;5,73366915605615e-06
"RCAN3";5,90633753160472e-06;8,48770167963292e-06;1,45722413781181e-05
"NCMAP";7,49435030866296e-06;9,03227757145418e-06;1,41622120750116e-05
"RUNX3";3,69613104372301e-06;2,65381379897688e-06;4,92342910924433e-06
"PAFAH2";3,72452898631339e-06;2,37025322781152e-06;2,71066460501715e-06
"EXTL1";3,46567623152995e-05;2,52150934294786e-05;2,21585314293784e-05
"SLC30A2";9,76038599776015e-06;6,78683108253868e-06;4,09761298360697e-06
"TMEM222";2,40113682875229e-05;2,30340457389389e-05;1,96809814097303e-05
"SYTL1";2,26468878668047e-05;3,21983414855543e-05;2,91413543257501e-05
"MAP3K6";1,25903918167469e-09;3,44521519643925e-09;3,14458732170338e-10
"FCN3";5,88851665813755e-07;1,85482675425884e-07;6,82087904077177e-07
"AHDC1";4,15314049370005e-06;1,91461659163381e-06;2,53116033260858e-06
"FGR";3,81554960037769e-05;3,60367249508555e-05;2,46727419531762e-05
"RAB42";6,13289856683892e-06;5,95743162218408e-06;1,43832766925321e-06
"SDC3";1,2668846083308e-13;6,20727902556073e-11;4,37438156586298e-09
"KHDRBS1";0;0;1,2534154407946e-13
"ZBTB8B";9,97480462508167e-06;6,97769899247756e-06;5,27235128346143e-06
"CSMD2";2,88703854486537e-06;1,93045743366676e-06;5,2586294956585e-06
"C1orf94";8,87052185045182e-06;5,56669548094327e-06;7,20823358727448e-06
"SFPQ";6,83206315394875e-05;6,39809347939749e-05;6,32969524487125e-05
"AGO3";4,85000952151379e-07;8,49141900694945e-07;1,94681968239964e-06
"COL8A2";1,33219946515373e-06;7,35602148276735e-07;2,08378480721115e-06
"SH3D21";8,51061835853509e-06;6,34430907550895e-06;2,74207450757207e-06
"CSF3R";1,43388479691764e-05;1,45967867492433e-05;8,59341021182729e-06
"GRIK3";1,13058127940832e-05;7,4749559885066e-06;3,28410168407661e-06
"ZC3H12A";1,9215036463683e-06;1,123107773794e-06;7,38756503484044e-08
"MEAF6";5,0505193851791e-06;4,94069055730558e-06;3,75811800526102e-06
"SNIP1";5,30304187924215e-06;3,72258275402361e-06;1,65775728135326e-06
"GNL2";2,11328530535165e-05;2,143140944256e-05;1,3007765332331e-05
